PlayerPos,HeadsetRot,EyeMov,ControllerMov,ControllerRot,ButtonPress,TimePassed
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,0
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,5
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,10
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,15
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,20
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,25
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,30
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,35
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,40
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,45
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,50
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,55
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,60
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,65
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,70
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,75
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,80
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,85
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,90
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,95
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,100
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,105
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,110
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,115
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,120
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,125
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,130
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,135
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,140
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,145
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,150
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,155
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,160
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,165
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,170
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,175
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,180
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,185
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,190
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,195
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,200
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,205
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,210
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,215
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,220
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,225
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,230
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,235
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,240
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,245
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,250
(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),(-1.17 -1.09 -2.11),(-1.17 -1.09 -2.11),(0.01460 -0.01294 0.25892 0.96570),0,255
