PlayerPos,HeadsetRot,EyeMov,ControllerMov,ControllerRot,ButtonPress,TimePassed
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.0486219
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.1167578
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.3174606
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.510409
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.6116022
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.713079
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.754285
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.7945221
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.8525609
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,0.8935935
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.033734
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.14284
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.186946
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.233918
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.278407
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.322917
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.367573
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.412171
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.453689
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.494959
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.537491
(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),(0.00 0.00 0.00),(0.00 0.00 0.00),(0.00000 0.00000 0.00000 1.00000),0,1.583415
